finding_id	report	source_repo	source_paths	finding	disposition	preservation_evidence	future_verification
CAT-001	01	spicy-regs-landing	src/spicy_regs/source_catalog/universe.py	Conjunctive location, agency, docket, type, date, and budget frame with distinct unusable-date and out-of-window reasons is absent from DocSpec.	copy	source-snapshots/spicy-regs-landing-main-31a4bfe.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Rerun focused scope and reason-code cases over the frozen universe and compare current DocSpec.
CAT-002	01	spicy-regs-landing	src/spicy_regs/source_catalog/verify.py; src/spicy_regs/source_catalog/validate.py	Consumer independently re-derives release identity, requested and selected digests, dispositions, coverage, schema membership, and sizes; DocSpec performs full semantics only at the producer gate.	copy	source-snapshots/spicy-regs-landing-main-31a4bfe.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Demonstrate tampered receipt and row failures plus bounded read-back on a sealed release.
CAT-003	01	spicy-regs-landing	src/spicy_regs/source_catalog/mirrulations.py	Every draw remains accounted for: missing receipt becomes unavailable, unreadable metadata becomes failed, and source-stated last_modified can supply a missing source date.	copy	source-snapshots/spicy-regs-landing-main-31a4bfe.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Replay a frozen draw with missing and corrupt cache cases and reconcile every row.
CAT-004	01	spicy-regs-landing	src/spicy_regs/source_catalog/published_catalog.py; tools/build_source_catalog_universe.py	Exactly one rendition family is selected in verified-bytes, source-URL, exact-Federal-Register order; lower and undeclared families are suppressed.	copy	source-snapshots/spicy-regs-landing-main-31a4bfe.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run the mixed-candidate fixture and verify the selected locator and selected-set digest.
CAT-005	01	spicy-regs-landing	src/spicy_regs/source_catalog/validate.py	Source-observed topics cannot use urn:ref or urn:refspec identities and therefore cannot impersonate normalized RefSpec concepts.	copy	source-snapshots/spicy-regs-landing-main-31a4bfe.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run negative tests for both reserved prefixes and positive source-native namespace cases.
CAT-006	01	spicy-regs-landing	src/spicy_regs/source_catalog/discovery.py; src/spicy_regs/source_catalog/universe.py	Closed lexical guards cover reason codes, BCP 47, HTTP(S), media types, lowercase SHA-256, JSON-safe sizes, and absolute identifiers.	copy	source-snapshots/spicy-regs-landing-main-31a4bfe.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run the malformed-value table and compare each refusal against current DocSpec before adoption.
CAT-007	01	spicy-regs-landing	src/spicy_regs/source_catalog/published_catalog.py; src/spicy_regs/source_catalog/release.py	Source-item identity is namespaced separately from document identity, and two selected source items may not claim one document.	copy	source-snapshots/spicy-regs-landing-main-31a4bfe.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run identity continuity and duplicate-selected-document fixtures.
CAT-008	01	spicy-regs-landing	src/spicy_regs/source_catalog/schema_pins.py; src/spicy_regs/source_catalog/validate.py; src/spicy_regs/fixtures/rulespec/source-catalog-release-v1/	The bundle carries exact validation schema bytes after pin, size, hash, schema ID, and schema-set verification; DocSpec only pins an installed schema-family digest.	copy	source-snapshots/spicy-regs-landing-main-31a4bfe.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Verify offline validation succeeds with the carried bytes and refuses a mismatched installed implementation.
CAT-009	01	spicy-regs-landing; DocSpec	src/spicy_regs/source_catalog/universe.py; src/docspec/application/regulations_gov_catalog.py	MD5 ordering, agency-year strata, rank divided by square-root stratum size, type cap, and explicit undrawn rows survive in DocSpec.	durable-current-reference	DocSpec@444f8ec283a7:src/docspec/application/regulations_gov_catalog.py	Pin a deterministic sampling golden test and keep the CAT-001 scope-frame gap separate.
CAT-010	01	spicy-regs-landing; DocSpec	src/spicy_regs/source_catalog/release.py; src/docspec/application/regulations_gov_catalog.py	Sample-before-required-metadata and rendition selection order survives in DocSpec.	durable-current-reference	DocSpec@444f8ec283a7:src/docspec/application/regulations_gov_catalog.py	Show that an undrawn item with bad rendition data does not fail the current build.
CAT-011	01	spicy-regs-landing; DocSpec	src/spicy_regs/source_catalog/; src/docspec/adapters/source_catalog_artifact.py	Complete-universe one-row accounting survives, and DocSpec compares policy output with the complete universe.	durable-current-reference	DocSpec@444f8ec283a7:src/docspec/adapters/source_catalog_artifact.py	Pin current tests that refuse omitted or duplicated universe rows and reconcile dispositions.
CAT-012	01+02	spicy-regs-landing; DocSpec	src/spicy_regs/source_catalog/published_catalog.py; src/docspec/application/regulations_gov_catalog.py; tests/test_regulations_gov_catalog.py	Exact document-to-docket and Federal Register joins plus complete matched source-native facts are implemented in DocSpec.	durable-current-reference	DocSpec@444f8ec283a7:src/docspec/application/regulations_gov_catalog.py; DocSpec@444f8ec283a7:tests/test_regulations_gov_catalog.py	Rerun join, no-match, mismatch, fallback, and unknown-nested-field preservation tests.
CAT-013	01	DocSpec	src/docspec/domain/source_catalog.py	Selected, excluded, deleted, unavailable, and failed dispositions plus reason and rendition consistency survive in current domain validation.	durable-current-reference	DocSpec@444f8ec283a7:src/docspec/domain/source_catalog.py	Pin tests for all dispositions and invalid selected or non-selected reason combinations.
CAT-014	01+02	spicy-regs-landing; DocSpec	tools/publish_source_catalog_release.py; src/docspec/adapters/source_catalog_artifact.py; src/docspec/adapters/spicyregs_source_native.py	Immutable source identity, state, schema-set, and canonical policy bytes are pinned by current DocSpec.	durable-current-reference	DocSpec@444f8ec283a7:src/docspec/adapters/source_catalog_artifact.py; DocSpec@444f8ec283a7:src/docspec/adapters/spicyregs_source_native.py	Rerun tampered input, policy, state, and schema digest tests.
CAT-015	01+02	spicy-regs-landing; rulespec	src/spicy_regs/source_catalog/validate.py; packages/rulespec-artifacts/src/rulespec_artifacts/_artifact.py; packages/rulespec-artifacts/tests/test_artifact.py	Canonical bytes, member hashes, missing, extra, and changed member refusal, and composition-report exclusion survive in Rulespec.	durable-current-reference	rulespec@93ae44d906be:packages/rulespec-artifacts/src/rulespec_artifacts/_artifact.py; rulespec@93ae44d906be:packages/rulespec-artifacts/tests/test_artifact.py	Rerun closed-membership tests and verify composition reports remain outside the declared root.
CAT-016	01	spicy-regs-landing; DocSpec	src/spicy_regs/source_catalog/; src/docspec/adapters/source_catalog_artifact.py	Atomic no-overwrite publication survives through staging, admission, and exclusive visibility in DocSpec.	durable-current-reference	DocSpec@444f8ec283a7:src/docspec/adapters/source_catalog_artifact.py	Rerun concurrent-winner, no-replace, and partial-publication tests against the durable store.
CAT-017	02	spicy-regs-landing	src/spicy_regs/universes/regulations-gov-published-catalog-2021-2025-metadata-complete.json	The exact predecessor oracle binds policy version, four source pins, dual Federal Register roles, composite identity, scope, sample, normalization, rendition order, and requested and selected digests.	copy	source-snapshots/spicy-regs-landing-main-31a4bfe.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Resolve every named input and compare policy and set digests with the preserved release.
CAT-018	02	spicy-regs-landing	src/spicy_regs/schemas/federal_register.py; src/spicy_regs/transforms/build_federal_register.py	Historical pre-backfill compatibility preserves absent topics_json as absence instead of inventing a null.	copy	source-snapshots/spicy-regs-landing-main-31a4bfe.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run pre- and post-backfill projection fixtures proving omitted versus null semantics.
CAT-019	02	spicy-regs-landing	src/spicy_regs/source_catalog/published_catalog.py; src/spicy_regs/source_catalog/universe.py	The exact old flat null-eliding and opt-in complete three-scope profile differential includes full classified shape, null retention, text-content exclusion, and policy-digest change.	copy	source-snapshots/spicy-regs-landing-main-31a4bfe.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run both profiles against identical pinned inputs and seal expected bytes and policy digests.
CAT-020	02	spicy-regs-landing	PLAN.md:1050; PLAN.md:1068-1087; output/source-catalog-release-regulations-gov-2021-2025-metadata-complete/release.json; output/source-catalog-release-regulations-gov-2021-2025-metadata-complete-inputs/inputs.json; output/source-catalog-release-regulations-gov-2021-2025-metadata-complete-composition.json; output/mirrulations-mirror-index/mirror-index.json	Producer-only join coverage, release, policy, requested and selected identities, 1,993,040-row balance, resource use, and dispositions are absent from downstream history.	copy	source-snapshots/spicy-regs-landing-main-31a4bfe.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle; ../../../_preserved-2026-08-27/landing-output:source-catalog-release-regulations-gov-2021-2025-metadata-complete/; ../../../_preserved-2026-08-27/landing-output:source-catalog-release-regulations-gov-2021-2025-metadata-complete-inputs/; ../../../_preserved-2026-08-27/landing-output:source-catalog-release-regulations-gov-2021-2025-metadata-complete-composition.json; ../../../_preserved-2026-08-27/landing-output:mirrulations-mirror-index/	Bind each recorded count to preserved receipt and member hashes before treating the rolling-plan prose as evidence.
