finding_id	report	source_repo	source_paths	finding	disposition	preservation_evidence	future_verification
R09-I01	09#1	spicy-regs	tests/test_source_native_release.py	A Federal Register interval that still reaches the API cap after narrowing to one day must fail instead of claiming completeness.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run test_capped_single_day_refuses_ambiguous_source_state against any replacement before adoption.
R09-I02	09#2	spicy-regs	tests/test_source_native_release.py	Complete Federal Register publication requires the exact ordered leaf-window inventory; a missing or reordered window invalidates the snapshot.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run missing-window and reordered-window cases against any replacement before adoption.
R09-I03	09#3	spicy-regs	tests/test_source_native_release.py	Publisher verification independently recomputes source counts instead of trusting acquisition claims.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Mutate the acquisition count and prove the publisher refuses it before adopting equivalent behavior.
R09-I04	09#4	spicy-regs	tests/test_regulations_gov_source_native.py	One Regulations.gov enumeration binds listing metadata to the exact object bytes without a second potentially inconsistent listing.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run the single-enumeration metadata-and-bytes case against any replacement.
R09-I05	09#5	spicy-regs	tests/test_regulations_gov_source_native.py	Every enumerated object must still exist with identical metadata when read; disappearance or replacement invalidates completeness.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run missing-object and changed-enumerated-object cases against current DocSpec before adoption.
R09-I06	09#6	spicy-regs	tests/test_regulations_gov_comments_source_native.py	Two comment versions that normalize to the same newest timestamp must be refused rather than selected by incidental order.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run repeated normalized-version ties against the upstream selector and DocSpec adapter.
R09-I07	09#7	spicy-regs	tests/test_relation_exclusion_evaluation_v2.py	Evaluation eligibility requires two distinct complete human reviews bound to the reviewed content.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run one-review, duplicate-reviewer, incomplete-review, and content-digest mismatch cases before adoption.
R09-I08	09#8	spicy-regs	tests/test_relation_exclusion_evaluation_v2.py	A digest-valid review dated after the gate cannot authorize an earlier evaluation.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run future-dated audit records against any current blind-review gate.
R09-I09	09#9	spicy-regs	tests/test_relation_exclusion_evaluation_v2.py	Reviewing a smaller evidence span does not authorize entailment for an unreviewed enclosing span.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run nested-span fixtures and require exact reviewed-boundary authorization.
R09-I10	09#10	spicy-regs	tests/test_relation_exclusion_evaluation_v2.py	A proposed removal remains an event and cannot be combined with a current-state assertion.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run the invalid event-and-current-state hybrid against current Rulespec carriers and any evaluator.
R09-I11	09#11	spicy-regs	tests/test_body_retrieval_corpus.py	An HTTP 200 Cloudflare challenge page is unusable content and must be quarantined instead of sealed.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Replay the preserved interstitial fixture through any current content fetcher.
R09-I12	09#12	spicy-regs	tests/test_body_retrieval_corpus.py	A partial cache cannot silently redefine the universe used for completeness reconciliation.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run partial-cache reconciliation against a separately pinned complete universe.
R09-I13	09#13	spicy-regs	tests/test_body_retrieval_corpus.py	Missing HTTP content type cannot erase a rendition already identified as XML from its source path.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run XML-path-without-content-type dispatch against current DocSpec.
R09-I14	09#14	spicy-regs	tests/test_body_retrieval_corpus.py	Measurement counts encoded zero-width entities as the publisher writes them rather than only decoded Unicode characters.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Reproduce the exact encoded-entity measurement and add an executable current test before reusing the metric.
R09-I15	09#15	spicy-regs	tests/test_bill_subjects.py	Failure on a later page makes the whole paginated bill-subject answer incomplete; it must publish nothing.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run a later-page failure and prove no truncated result is published.
R09-I16	09#16	spicy-regs	tests/test_bill_subjects.py	A 404 is a definitive unavailable-bill answer, distinct from transport failure and from a valid bill with no subjects.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run all three outcome states and verify distinct durable records.
R09-I17	09#17	spicy-regs	tests/test_bill_subjects.py	Negative caching is scoped to a source coverage floor; switching from bulk data to the deeper API must revisit unresolved bills.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run a bulk-miss followed by deeper-carrier success and verify the second request occurs.
R09-I18	09#18	spicy-regs	tests/test_supreme_court_opinions.py	Pre-2021 Supreme Court term indexes use the bound-volume layout and require a separate parser path.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Replay a preserved pre-2021 index and a modern index through their respective parsers.
R09-I19	09#19	spicy-regs	tests/test_supreme_court_opinions.py	Opinions sharing a bound volume reuse one fetch while preserving per-opinion dead-link evidence.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run shared-volume and individual-dead-link cases with a counted fetch adapter.
