index	text	rows	verdict	loud_or_silent	mechanism	decisive_quote	publisher_check
0	12 USC 1818 and 1828(n)	6	CORRECT		both sections real (FDIC Act 12 USC 1818 enforcement; 12 USC 1828 rules/regs); subsection (n) dropped from 1828 but base section correct (partial-but-correct doctrine)	usc_section_verdict=exists for both; sibling CFR note 12 CFR 3 present	12 U.S.C. 1818, 1828 -- both real sections, well-settled national bank enforcement authorities
1	38 USC 1114(j)	2	CORRECT		38 U.S.C. 1114 real (VA disability compensation rates); subsection (j) dropped as residue, base section correct	usc_section_verdict=exists	38 U.S.C. 1114 -- VA rates of disability compensation, real section
2	16 USC 7783	1	MISREAD_LAUNDERED	LOUD	produced section does not exist; near-miss to the CFR note's real cite 16 U.S.C. 773 (edit distance 1: insert '8')	usc_section_verdict=absent; authority_in_own_cfr_note=near-miss, cfr_note_part=50 CFR 679	OLRC uscode.house.gov granuleid title16-section7783: 'the document you were looking for does not exist'; Cornell 16/7783: 404. 50 CFR 679 authority note (eCFR, fetched 2024-01-01 snapshot): '16 U.S.C. 773 et seq.; 1801 et seq.; 3631 et seq.; Pub. L. 108-447; Pub. L. 111-281' -- 773+inserted '8' = 7783, a one-edit near-miss to the real cite
3	1818	2	CORRECT		bare number corroborated to 12 U.S.C. 1818 via rin-history-section-list; RIN 1557-AF32's full list is 12 USC 24(Eleventh), 93a, 481, 1818, 1464, and 78o-11 -- all title-12 national-bank sections except the flagged-other 78o-11, so title-12/1818 corroboration is sound	corroboration_rule=rin-history-section-list, usc_section_verdict=exists	confirmed by querying sibling ordinals for RIN 1557-AF32: consistent title-12 list
4	12 USC 161	239	CORRECT		National Bank Act reports-to-Comptroller section, real and stable across 239 rows/60-year span	usc_section_verdict=exists throughout	12 U.S.C. 161 -- reports to the Comptroller of the Currency, real section
5	47 U.S.C. 154(o)	44	CORRECT		Communications Act general FCC powers section real; subsection (o) dropped as residue	usc_section_verdict=exists	47 U.S.C. 154 -- general powers of the Commission, real section
6	43 USC 1348	8	CORRECT		OCSLA enforcement of safety/environmental regulations, matches sibling 33 CFR 140/143 (Coast Guard OCS safety)	usc_section_verdict=exists	Cornell 43/1348: '43 U.S. Code S 1348 - Enforcement of safety and environmental regulations' -- confirmed real
7	29 U.S.C. 628	7	CORRECT		ADEA rulemaking authority, matches sibling 29 CFR 1626 (EEOC ADEA regs)	usc_section_verdict=exists	well-settled ADEA authority section
8	26 U.S.C. 6045A(a)	4	CORRECT		broker basis-reporting section (added 2008), real; subsection (a) dropped as residue	usc_section_verdict=exists	26 U.S.C. 6045A -- real, recent IRC section
9	43 U.S.C. section 421	3	CORRECT		Reclamation Act land-acquisition section, real	usc_section_verdict=exists; stated_section=421 matches	Cornell 43/421: '43 U.S. Code S 421 - Acquisition of lands for irrigation project; eminent domain' -- confirmed real
10	E.O. 12234	4	CORRECT		real 1980 Executive Order (MARPOL/Coast Guard)	authority_type=executive_order, parse_status=ok	well-known real EO
11	42 USC 1395i to 2a(d)(2)	2	DROPPED	SILENT	"""X to Y"" range whose endpoint carries a parenthesized subsection (2a(d)(2)); only the start (1395i, real: Federal Hospital Insurance Trust Fund) is emitted, the endpoint is silently absorbed with no usc_section_end, no second row, no refusal"	usc_section_end is null/absent; parse_status=partial gives no specific signal about what was dropped	Cornell 42/1395i: real (Federal Hospital Insurance Trust Fund). The stated range's endpoint ('2a(d)(2)', i.e. a subsection pinpoint) never appears anywhere in the row -- same silent-endpoint-drop pattern independently confirmed at items 69 and 73 in this batch (a range whose far side carries a parenthesized subsection is dropped, not merely truncated with a flag)
12	Indian Health Care Improvement Act (25 U.S.C. 1601 et seq.)	18	CORRECT		IHCIA opening section, real	usc_section_verdict=exists; stated_act_name captured	25 U.S.C. 1601 -- start of the Indian Health Care Improvement Act, real
