index	text	rows	verdict	loud_or_silent	mechanism	decisive_quote	publisher_check
0	42 USC 7211 et seq	1	CORRECT		n/a	"Cornell: ""42 U.S. Code Section 7211, 7212 - Repealed. Pub. L. 104-106...Feb. 10, 1996, 110 Stat. 664""; earliest edition 199510 predates the Feb 1996 repeal, so the section was live law when first filed (era-correct-but-stale, per doctrine)."	law.cornell.edu/uscode/text/42/7211
1	63 Stat 390, as amended	1	CORRECT		n/a	govinfo /link/statute/63/390 redirects to STATUTE-63-Pg377.pdf#page=14, i.e. page 390 is a real page inside vol. 63 (1949); no PL accompanies it to cross-check congress/volume.	govinfo.gov/link/statute/63/390
2	5 USC 301	1	CORRECT		n/a	"Canonical housekeeping-statute citation. DB check on rows with authority_join_rule='fragment-right:...' shows the join correctly recovers a longer note (""5 USC 301, 551, 552a"" / ""...552(a)"") from a split box fragment for RIN 1120-AB49 -- all of 301/551/552/552a are real, so even that rarer joined shape is correct, not a defect."	law.cornell.edu/uscode/text/5/301 (canonical); DB: authority_join_text for RIN 1120-AB49
3	41 USC 403(ii)	1	CORRECT		n/a	"41 U.S.C. 403 (OFPP Act definitions) predates the 2011 Title 41 positive-law recodification (both editions 199604, 200310 are pre-2011, so it was real when filed). ""(ii)"" is a lower-case roman numeral -- a sub-subparagraph pointer, not a lettered-section-suffix candidate -- so dropping it as a pinpoint is the correct reading, not a paren-loss misread."	law.cornell.edu/uscode/text/41/403 (current, post-2011 title, 404s -- confirms the era; Cornell/OLRC do not index the pre-2011 numbering directly)
4	26 USC 7805	4	CORRECT		n/a	Canonical Treasury general rulemaking authority, 700+ occurrences corpus-wide.	well-established; not individually re-fetched
5	28 USC 509, 510	1	CORRECT		n/a	"Cornell: 28 U.S.C. 509 ""Functions of the Attorney General""; 28 U.S.C. 510 ""Delegation of authority"" -- both real, both match the text's two-item list exactly."	law.cornell.edu/uscode/text/28/509 ; /28/510
6	10 USC 1781C	1	CORRECT		n/a	"Cornell: ""10 U.S. Code Section 1781c - Office of Special Needs"" -- real; text's capital ""1781C"" normalizes to ""1781c"" without changing identity."	law.cornell.edu/uscode/text/10/1781c
7	7 CFR 1.28	1	CORRECT		n/a	"eCFR structure API: {""identifier"": ""1.28"", ""label"": ""Section 1.28 Petitions.""} -- 7 CFR 1.28 is a real section."	ecfr.gov/api/versioner/v1/structure/2024-01-01/title-7.json?part=1
8	8 USC 1186a	1	CORRECT		n/a	"Cornell: ""8 U.S. Code Section 1186a - Conditional permanent resident status for certain alien spouses and sons and daughters"" -- real, matches exactly."	law.cornell.edu/uscode/text/8/1186a
9	26 U.S.C. 7805	1	CORRECT		n/a	Same canonical section as item 4, different RIN/formatting.	see item 4
10	25 USC 202	1	CORRECT		n/a	"Cornell: ""25 U.S. Code Section 202 - Inducing conveyances by Indians of trust interests in lands"" -- real, matches."	law.cornell.edu/uscode/text/25/202
11	8 USC 1158	1	CORRECT		n/a	8 U.S.C. 1158 is the asylum statute -- canonical, well-attested.	well-established; not individually re-fetched
12	40 USC 486(c)	1	CORRECT		n/a	"Quoted directly in the 2026-08-22 report's own confidence section: ""Era-correct-but-stale citations were scored CORRECT... 40 USC 486(c) (before the 2002 recodification)""."	"research/evidence/silent-misreads-2026-08-22.md, ""Confidence, stated honestly"""
13	Secretary's Orders 4-75 and 14-75	1	CORRECT		n/a	"Sample JSON omits admin_order_kind/admin_order_number for this authority_type (a serialization gap in the sample file, not the artifact). DB query on RIN 1205-AB18 confirms both orders are correctly captured: admin_order_number='4-75' (kind ""Secretary's Order"") and '14-75', matching the text exactly."	DB: unified_agenda_legal_authorities.parquet WHERE authority_text LIKE '%Secretary%Orders 4-75%'
14	33 USC 1361 CWA sec 501	1	CORRECT		n/a	"Cornell: 33 U.S.C. 1361 = ""Administration"" -- this is CWA Section 501 (""General authority; administration""), so the text's own cross-reference ""CWA sec 501"" is accurate and is captured in the stated_section field."	law.cornell.edu/uscode/text/33/1361
15	21 USC 350c	1	CORRECT		n/a	"Cornell: ""21 U.S. Code Section 350c - Maintenance and inspection of records"" -- real, matches (FSMA sec 103 records provision)."	law.cornell.edu/uscode/text/21/350c
16	22 U.S.C. 2651a	1	CORRECT		n/a	"Cornell: ""22 U.S. Code Section 2651a - Organization of Department of State"" -- real, canonical State Department reorganization authority."	law.cornell.edu/uscode/text/22/2651a
17	12 U.S.C. 1829(b)	1	MISREAD_GRAMMAR	LOUD	NNN(x)->NNNx direction (paren-loss family)	"Cornell: 12 U.S.C. 1829 = ""Penalty for unauthorized participation by convicted individual"" and DOES have its own subsection (b) (""Penalty. Whoever knowingly violates subsection (a)...""), so this is not structurally impossible the way 42 U.S.C. 629(b) is -- but RINs 1506-* are FinCEN/BSA rules whose CFR note is 31 CFR 1010 (the BSA regulations part), and the record's own evidence flags that pairing 'near-miss': the note almost certainly reads ""...1829b..."" (Retention of records by insured depository institutions, Cornell-confirmed real), FinCEN's actual BSA record-retention authority, not the FDIC felon-employment penalty at 1829(b). Matches the 2026-08-22 report's own mechanism table verbatim: ""12 U.S.C. 1829(b) (means 1829b)""."	law.cornell.edu/uscode/text/12/1829 ; /12/1829b ; artifact authority_in_own_cfr_note='near-miss' for cfr_note_part='31 CFR 1010'
18	49 U.S.C. 44703	1	CORRECT		n/a	"Cornell: ""49 U.S. Code Section 44703 - Airman certificates"" -- real, canonical."	law.cornell.edu/uscode/text/49/44703
19	42 USC 629(b)	1	MISREAD_GRAMMAR	LOUD	NNN(x)->NNNx direction; DB shows a second, different mechanism riding the same text for a different record	"42 U.S.C. 629 = ""Purpose"" and has only unlettered paragraphs (1)-(4) -- no lettered subsection (b) -- so for RIN 0970-AC33 (HHS/ACF, CFR note 45 CFR 95, Title IV-B child welfare) this is the exact worked example from the 2026-08-22 report: the true target is 629b ""State plans"". But DB history for the OTHER RIN sharing this text, 1904-AB15 (DOE, CFR note 10 CFR 430, appliance-efficiency EPCA rule), shows the SAME RIN filed '42 USC 6291'/'42 USC 6292' (EPCA definitions -- the correct DOE authority) in every edition through 200504, then the authority abruptly becomes '42 USC 629(b)' at 200510-200604 with no plausible child-welfare connection -- almost certainly a source-side corruption of '6291', not a paren-loss instance at all. The same literal string masks two different errors depending on the record."	"law.cornell.edu/uscode/text/42/629 ; /42/629b ; DB: authority_text history for RIN 1904-AB15 and RIN 0970-AC33; original report's ""worked example"" passage"
20	15 USC 77s	1	CORRECT		n/a	"Cornell: ""15 U.S. Code Section 77s - Special powers of Commission"" -- real, canonical Securities Act section."	law.cornell.edu/uscode/text/15/77s
21	42 USC 4012a	1	CORRECT		n/a	42 U.S.C. 4012a is the flood-insurance-purchase-requirement section -- canonical, well-attested.	well-established; not individually re-fetched
22	12 USC 21 and 22	1	CORRECT		n/a	"Cornell: 12 U.S.C. 21 ""Formation of national banking associations...""; 12 U.S.C. 22 ""Organization certificate"" -- both real, both match the two-item list."	law.cornell.edu/uscode/text/12/21 ; /12/22
